iter	RMSE
0	4.04307198
1	4.026850197
2	4.015423084
3	4.00213789
4	3.988738353
5	3.973237389
6	3.960845039
7	3.944804048
8	3.936066738
9	3.924941994
10	3.915183454
11	3.907755901
12	3.897870454
13	3.892104908
14	3.881938906
15	3.876328036
16	3.867898108
17	3.863507614
18	3.856639619
19	3.845425904
20	3.838709855
21	3.834613659
22	3.828107891
23	3.818996902
24	3.815014744
25	3.810899975
26	3.804555456
27	3.800770654
28	3.798222452
29	3.794385698
30	3.790110477
31	3.786540622
32	3.78456277
33	3.781239356
34	3.775273278
35	3.772337959
36	3.768058404
37	3.763998738
38	3.755891787
39	3.752338151
40	3.746848157
41	3.743637091
42	3.741349587
43	3.738004964
44	3.73628232
45	3.730956409
46	3.729315355
47	3.728171929
48	3.725010194
49	3.722078613
50	3.7171954
51	3.714742541
52	3.706692755
53	3.701907822
54	3.698774075
55	3.697308613
56	3.695457473
57	3.692848314
58	3.691722785
59	3.689663692
60	3.684545276
61	3.680217712
62	3.677810729
63	3.673951796
64	3.667166835
65	3.665906342
66	3.664727986
67	3.663128907
68	3.661353522
69	3.660285005
70	3.655583651
71	3.654053847
72	3.652557907
73	3.650000612
74	3.646061738
75	3.643491083
76	3.641018045
77	3.6383931
78	3.631934166
79	3.628748548
80	3.624864872
81	3.623083794
82	3.621787852
83	3.619919101
84	3.617702877
85	3.616468367
86	3.611258647
87	3.608730769
88	3.60524961
89	3.603643542
90	3.601384628
91	3.594828033
92	3.590172323
93	3.589727638
94	3.588102088
95	3.587235687
96	3.58510727
97	3.58130733
98	3.579683124
99	3.578707532
100	3.574987482
101	3.572254436
102	3.571797483
103	3.56702977
104	3.566095308
105	3.564144938
106	3.558484737
107	3.557210079
108	3.555361194
109	3.552763581
110	3.551555726
111	3.550501046
112	3.549057618
113	3.546749004
114	3.545818003
115	3.544969438
116	3.544581292
117	3.543826034
118	3.542271991
119	3.540474049
120	3.535863911
121	3.531767205
122	3.531154012
123	3.523533196
124	3.518737061
125	3.517948801
126	3.516455829
127	3.514670169
128	3.513944348
129	3.512253319
130	3.510046705
131	3.506485666
132	3.504227327
133	3.50159693
134	3.499619544
135	3.497656339
136	3.496274699
137	3.490985253
138	3.488083267
139	3.486914344
140	3.485035293
141	3.481835684
142	3.47843108
143	3.477728334
144	3.475941432
145	3.474106721
146	3.471125875
147	3.47032662
148	3.467532692
149	3.467180945
150	3.464564703
151	3.462479808
152	3.461427942
153	3.455730933
154	3.454047704
155	3.453620836
156	3.45108288
157	3.449441206
158	3.447169774
159	3.441929971
160	3.437741244
161	3.435558277
162	3.433922622
163	3.43204821
164	3.430225068
165	3.426044064
166	3.424809199
167	3.421518445
168	3.420019584
169	3.418469654
170	3.41785294
171	3.416507792
172	3.41535817
173	3.413090318
174	3.411297863
175	3.409340081
176	3.405358418
177	3.403830675
178	3.402347891
179	3.400871587
180	3.399514559
181	3.397891499
182	3.39742466
183	3.396125769
184	3.393718667
185	3.393196393
186	3.391402795
187	3.39013771
188	3.388840736
189	3.387634879
190	3.385365839
191	3.383111123
192	3.381872925
193	3.380647653
194	3.377742222
195	3.376617713
196	3.375499579
197	3.374862386
198	3.373023941
199	3.371803943
200	3.369438525
201	3.368295682
202	3.366369274
203	3.365454903
204	3.364451999
205	3.362492493
206	3.361462217
207	3.360481975
208	3.359493483
209	3.35859363
210	3.35659581
211	3.355628418
212	3.352635853
213	3.349914645
214	3.347265338
215	3.346596652
216	3.345709544
217	3.34481702
218	3.343923276
219	3.339569326
220	3.337738211
221	3.336870532
222	3.335069131
223	3.331567842
224	3.330749152
225	3.329972354
226	3.328121031
227	3.327345149
228	3.326577149
229	3.325903092
230	3.324219977
231	3.322208052
232	3.320945222
233	3.319085646
234	3.318366784
235	3.317360637
236	3.31551318
237	3.314809503
238	3.312444044
239	3.309173693
240	3.307340281
241	3.306655825
242	3.302566649
243	3.301902396
244	3.300253443
245	3.298888272
246	3.296496133
247	3.295638847
248	3.295003396
249	3.293273291
250	3.292254207
251	3.28778057
252	3.286362695
253	3.285204326
254	3.283600935
255	3.277833526
256	3.276745782
257	3.276141578
258	3.275560402
259	3.27498709
260	3.273406875
261	3.271982325
262	3.270529845
263	3.268204334
264	3.264249909
265	3.263823628
266	3.262311987
267	3.261754431
268	3.260379111
269	3.257491549
270	3.256129311
271	3.255572221
272	3.25502961
273	3.25174145
274	3.250445637
275	3.246887293
276	3.24634455
277	3.245068242
278	3.244534648
279	3.242580213
280	3.241954958
281	3.241189981
282	3.239828739
283	3.238846285
284	3.237926841
285	3.236976818
286	3.236606133
287	3.233058502
288	3.232009249
289	3.2287078
290	3.226517675
291	3.22564128
292	3.225042824
293	3.223968801
294	3.222474361
295	3.22072412
296	3.219983517
297	3.218764801
298	3.217531647
299	3.214647042
300	3.21268784
301	3.211720643
302	3.211245727
303	3.210737441
304	3.209473131
305	3.208157931
306	3.207647982
307	3.206577635
308	3.205615344
309	3.205158586
310	3.202491572
311	3.199611679
312	3.198651731
313	3.197786363
314	3.197328328
315	3.196906043
316	3.196152249
317	3.195741712
318	3.19500972
319	3.193345573
320	3.192585535
321	3.191939471
322	3.191144702
323	3.190742533
324	3.190376164
325	3.190004987
326	3.188779327
327	3.188067652
328	3.186976601
329	3.184570054
330	3.183777579
331	3.183429426
332	3.180546023
333	3.178592283
334	3.177517848
335	3.175999845
336	3.173480818
337	3.173041301
338	3.171829534
339	3.171452964
340	3.170774907
341	3.170534005
342	3.169386244
343	3.167873021
344	3.166741251
345	3.166384595
346	3.165398703
347	3.162974014
348	3.161976148
349	3.161194312
350	3.15966606
351	3.157200535
352	3.156211113
353	3.154190065
354	3.153772749
355	3.152655973
356	3.150111225
357	3.149059399
358	3.147942872
359	3.147318366
360	3.145538417
361	3.144853736
362	3.143763028
363	3.143420417
364	3.143083246
365	3.14215757
366	3.141112508
367	3.139926006
368	3.139541162
369	3.138397101
370	3.136208134
371	3.13408328
372	3.133487811
373	3.132854103
374	3.132306238
375	3.131566173
376	3.130237734
377	3.129585247
378	3.128850621
379	3.128536209
380	3.126416206
381	3.12542033
382	3.124474861
383	3.123750379
384	3.121632533
385	3.120602901
386	3.120298368
387	3.119601981
388	3.118819501
389	3.118520884
390	3.117420885
391	3.11553792
392	3.114378896
393	3.113842411
394	3.112033572
395	3.111033915
396	3.110028416
397	3.109133401
398	3.10718781
399	3.106258825
400	3.105741465
401	3.105396287
402	3.104536971
403	3.10386473
404	3.103020351
405	3.101993352
406	3.10024691
407	3.099918277
408	3.099321608
409	3.097623683
410	3.097235222
411	3.096728966
412	3.096461649
413	3.095466891
414	3.094482144
415	3.093997389
416	3.093013461
417	3.092515064
418	3.088039843
419	3.087075672
420	3.082912321
421	3.080575607
422	3.080319517
423	3.080037618
424	3.079676866
425	3.078796324
426	3.078600175
427	3.077577514
428	3.076393701
429	3.075749337
430	3.074052349
431	3.072441534
432	3.072257179
433	3.071795305
434	3.070581858
435	3.069752479
436	3.067724765
437	3.067488158
438	3.067029782
439	3.066069341
440	3.065167181
441	3.06414039
442	3.06321745
443	3.061595663
444	3.061245703
445	3.060370289
446	3.059488124
447	3.059246747
448	3.058479524
449	3.058027443
450	3.057607526
451	3.057385744
452	3.055337772
453	3.055121816
454	3.054213615
455	3.052197706
456	3.051973857
457	3.051094497
458	3.049116787
459	3.048986905
460	3.04819477
461	3.047904622
462	3.047185042
463	3.046902032
464	3.046075463
465	3.045612462
466	3.045481932
467	3.043528645
468	3.041694478
469	3.039474335
470	3.038825742
471	3.03694033
472	3.03615176
473	3.035349556
474	3.03379716
475	3.031675373
476	3.030233429
477	3.028106507
478	3.027267212
479	3.026570164
480	3.026019326
481	3.025319641
482	3.02405232
483	3.023845973
484	3.022517616
485	3.02209199
486	3.021281025
487	3.020642955
488	3.019603982
489	3.019407759
490	3.018238704
491	3.017840147
492	3.017248431
493	3.016367297
494	3.015711491
495	3.01494764
496	3.01460944
497	3.013872597
498	3.013110704
499	3.012709764
500	3.011025516
501	3.010206388
502	3.009491073
503	3.008301756
504	3.007595129
505	3.00741839
506	3.007220164
507	3.0068267
508	3.006215422
509	3.00573373
510	3.003777694
511	3.003533216
512	3.003232648
513	3.002701689
514	3.001582824
515	2.999979444
516	2.999152878
517	2.998798407
518	2.997899665
519	2.99749406
520	2.99724158
521	2.997016986
522	2.995631769
523	2.993845292
524	2.99313138
525	2.992971273
526	2.991961722
527	2.99085127
528	2.990480819
529	2.989199203
530	2.988521914
531	2.988161073
532	2.987749437
533	2.987394364
534	2.986710674
535	2.985960886
536	2.985405064
537	2.984968581
538	2.984616939
539	2.984279655
540	2.983702652
541	2.982984819
542	2.98230242
543	2.981500422
544	2.980417903
545	2.979928277
546	2.979507928
547	2.977998962
548	2.97780376
549	2.976971347
550	2.976630966
551	2.975442538
552	2.975042742
553	2.973393297
554	2.973255649
555	2.972926006
556	2.972105791
557	2.971807792
558	2.971167679
559	2.969585838
560	2.969388971
561	2.969259814
562	2.96840138
563	2.968253805
564	2.9662724
565	2.965621532
566	2.964315737
567	2.963428886
568	2.962792475
569	2.962287161
570	2.961803028
571	2.96018602
572	2.959989802
573	2.95865933
574	2.958326357
575	2.958021369
576	2.95665999
577	2.956237758
578	2.955611325
579	2.954674899
580	2.952937988
581	2.952661957
582	2.951536315
583	2.951112601
584	2.950543088
585	2.94986495
586	2.949249845
587	2.948109845
588	2.94756188
589	2.946244569
590	2.944986036
591	2.944605892
592	2.943870666
593	2.943729915
594	2.943317716
595	2.943009698
596	2.941661631
597	2.941246499
598	2.94069055
599	2.940297731
600	2.939255361
601	2.938865805
602	2.937532715
603	2.937390351
604	2.936897262
605	2.933775919
606	2.933488948
607	2.932935339
608	2.932363391
609	2.931383455
610	2.929850141
611	2.92927726
612	2.928696209
613	2.928417599
614	2.92695596
615	2.926729404
616	2.926184792
617	2.925972587
618	2.924054688
619	2.923411503
620	2.922149632
621	2.921880615
622	2.921320627
623	2.920564001
624	2.920307803
625	2.918982966
626	2.918440361
627	2.917205338
628	2.917002241
629	2.915965844
630	2.91544582
631	2.914308912
632	2.913851889
633	2.913311811
634	2.912620229
635	2.911743721
636	2.910930385
637	2.910620214
638	2.910310002
639	2.909748043
640	2.908877389
641	2.908658342
642	2.908384369
643	2.908060169
644	2.907492505
645	2.906778091
646	2.90558414
647	2.904516086
648	2.904042845
649	2.903517791
650	2.90307233
651	2.901733114
652	2.901462327
653	2.901024167
654	2.900537771
655	2.900278963
656	2.900070242
657	2.899367714
658	2.899198959
659	2.898712613
660	2.897879313
661	2.896721349
662	2.896241938
663	2.895775546
664	2.895030029
665	2.894618501
666	2.893972708
667	2.892872627
668	2.89247814
669	2.892046006
670	2.890959898
671	2.888213368
672	2.885701917
673	2.885375231
674	2.884078027
675	2.883696072
676	2.882836348
677	2.88206414
678	2.880895639
679	2.880093764
680	2.879685751
681	2.878491691
682	2.877262221
683	2.876654728
684	2.876247794
685	2.875992871
686	2.875350609
687	2.874261862
688	2.872265758
689	2.871662497
690	2.870977754
691	2.870354824
692	2.869953262
693	2.869570439
694	2.869212595
695	2.868707424
696	2.86837375
697	2.868026559
698	2.867108172
699	2.866376367
700	2.866154783
701	2.865774842
702	2.865041283
703	2.864672298
704	2.863982393
705	2.863634067
706	2.862989696
707	2.860412962
708	2.85992353
709	2.859696615
710	2.859262325
711	2.85809827
712	2.857695257
713	2.857306453
714	2.856943227
715	2.856583383
716	2.855696545
717	2.855349225
718	2.854814521
719	2.853878171
720	2.853166887
721	2.852525149
722	2.852324677
723	2.851681426
724	2.851189464
725	2.850898473
726	2.850109647
727	2.849672159
728	2.849231297
729	2.84849459
730	2.84783117
731	2.84600022
732	2.844551512
733	2.844215022
734	2.843327539
735	2.843099472
736	2.841858894
737	2.840873183
738	2.83978628
739	2.839651718
740	2.839258822
741	2.838918686
742	2.838559574
743	2.837967248
744	2.83756397
745	2.83693777
746	2.836748695
747	2.836453669
748	2.835622204
749	2.835328817
750	2.834319392
751	2.833122084
752	2.832803615
753	2.832509545
754	2.832170868
755	2.832042854
756	2.831669854
757	2.831296842
758	2.831062241
759	2.830653009
760	2.829563565
761	2.829272612
762	2.828906991
763	2.828243431
764	2.827944041
765	2.827646296
766	2.827425244
767	2.827224494
768	2.826308963
769	2.825361282
770	2.824543191
771	2.824007385
772	2.823677442
773	2.823358807
774	2.823043696
775	2.822936377
776	2.822641718
777	2.821908101
778	2.820774198
779	2.820458748
780	2.820318464
781	2.819435525
782	2.819069968
783	2.818797291
784	2.818473159
785	2.817513108
786	2.817082927
787	2.816716509
788	2.815511892
789	2.814976206
790	2.814231692
791	2.81404538
792	2.813144116
793	2.812839292
794	2.812204698
795	2.811874822
796	2.811269796
797	2.811050497
798	2.810772449
799	2.809789923
800	2.808192392
801	2.807305356
802	2.806839009
803	2.80659076
804	2.806315574
805	2.805889453
806	2.805595222
807	2.805329375
808	2.804214843
809	2.803680067
810	2.802822561
811	2.802602725
812	2.802352395
813	2.801983754
814	2.801199531
815	2.800807971
816	2.800535524
817	2.800248936
818	2.800014198
819	2.799519874
820	2.799139907
821	2.798653061
822	2.798409589
823	2.798113773
824	2.797910514
825	2.797641138
826	2.796455235
827	2.796032121
828	2.795727071
829	2.795423676
830	2.795301457
831	2.794678444
832	2.792663219
833	2.79246935
834	2.791922098
835	2.791386196
836	2.791156804
837	2.790371753
838	2.790198199
839	2.788947105
840	2.78834977
841	2.787925659
842	2.787736489
843	2.786856918
844	2.786046935
845	2.785812501
846	2.785045158
847	2.784718192
848	2.784553575
849	2.784080633
850	2.783401327
851	2.78322313
852	2.782595509
853	2.782238636
854	2.781337593
855	2.781210438
856	2.780384305
857	2.780065097
858	2.779807267
859	2.779453498
860	2.778870745
861	2.778682985
862	2.778466126
863	2.778078078
864	2.777297656
865	2.77681881
866	2.776438228
867	2.776167155
868	2.775427881
869	2.775104139
870	2.774454473
871	2.7739301
872	2.773530462
873	2.773153835
874	2.772346238
875	2.77150163
876	2.771298028
877	2.770795192
878	2.770080052
879	2.769240232
880	2.768446619
881	2.768133452
882	2.767533763
883	2.767069944
884	2.766898425
885	2.766708055
886	2.76640026
887	2.766240113
888	2.765676741
889	2.765484937
890	2.765320476
891	2.764964067
892	2.764296706
893	2.763789096
894	2.762896585
895	2.762746676
896	2.762139472
897	2.761386762
898	2.760988177
899	2.760609944
900	2.760315697
901	2.760033719
902	2.75938953
903	2.758952818
904	2.758739687
905	2.75855472
906	2.758093839
907	2.75752298
908	2.756659712
909	2.7564142
910	2.75616734
911	2.755851509
912	2.75557838
913	2.754307958
914	2.754146614
