iter	Passed	Remaining
0	3	3203
1	5	2880
2	8	2771
3	10	2669
4	13	2596
5	15	2546
6	18	2564
7	20	2529
8	22	2522
9	25	2501
10	27	2480
11	29	2465
12	32	2449
13	34	2440
14	36	2429
15	39	2424
16	41	2412
17	44	2403
18	46	2393
19	48	2387
20	50	2374
21	53	2370
22	55	2365
23	58	2360
24	60	2358
25	62	2353
26	67	2447
27	72	2531
28	77	2580
29	80	2601
30	83	2615
31	86	2618
32	89	2611
33	91	2603
34	93	2590
35	96	2578
36	98	2569
37	101	2568
38	103	2561
39	106	2553
40	108	2545
41	111	2536
42	113	2529
43	116	2525
44	118	2518
45	121	2512
46	123	2504
47	125	2497
48	128	2491
49	130	2484
50	133	2479
51	135	2473
52	138	2467
53	140	2460
54	142	2454
55	145	2448
56	147	2442
57	150	2440
58	152	2438
59	155	2434
60	157	2429
61	160	2424
62	162	2419
63	165	2418
64	168	2417
65	170	2417
66	173	2418
67	176	2418
68	179	2420
69	182	2423
70	185	2425
71	188	2426
72	190	2423
73	193	2424
74	196	2424
75	199	2425
76	202	2426
77	205	2426
78	208	2425
79	210	2425
80	213	2425
81	216	2425
82	219	2423
83	221	2420
84	224	2418
85	227	2415
86	230	2415
87	233	2415
88	235	2413
89	238	2410
90	241	2408
91	243	2405
92	246	2403
93	249	2401
94	251	2398
95	254	2395
96	257	2392
97	259	2390
98	262	2388
99	265	2385
100	267	2382
101	270	2379
102	272	2376
103	275	2373
104	278	2372
105	280	2369
106	283	2367
107	286	2365
108	288	2361
109	291	2359
110	294	2357
111	297	2355
112	299	2352
113	302	2350
114	305	2348
115	307	2346
116	310	2344
117	313	2341
118	315	2338
119	318	2335
120	321	2332
121	323	2330
122	326	2329
123	329	2326
124	331	2321
125	334	2317
126	336	2313
127	338	2308
128	340	2299
129	343	2295
130	345	2292
131	347	2287
132	350	2283
133	352	2279
134	355	2275
135	357	2271
136	359	2267
137	362	2263
138	364	2259
139	367	2255
140	369	2251
141	372	2247
142	374	2243
143	376	2239
144	379	2236
145	381	2232
146	384	2228
147	386	2224
148	388	2221
149	391	2218
